City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,78.96,broken clouds,-23.1203,-134.9692,Pension Maro'i
1,Arraial Do Cabo,BR,71.46,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
2,Joshimath,IN,69.8,scattered clouds,30.5667,79.5667,Shivalik Camps & Resort
6,Busselton,AU,66.0,overcast clouds,-33.65,115.3333,Observatory Guest House
8,Shingu,JP,66.2,mist,33.7333,135.9833,Shingu UI Hotel
11,New Norfolk,AU,68.0,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
18,Daru,PG,81.27,overcast clouds,-9.0763,143.2092,Daru Lodge
21,Viedma,AR,65.55,overcast clouds,-40.8135,-62.9967,Hotel Cristal
22,Kavaratti,IN,85.17,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
23,Hilo,US,80.6,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
26,Kapaa,US,75.2,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
27,Flinders,AU,73.99,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
29,Port Lincoln,AU,71.15,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
31,Katobu,ID,89.92,scattered clouds,-4.9408,122.5276,La Ode Husein
37,Magomeni,TZ,73.4,moderate rain,-6.8,39.25,Conway Hotel
40,Dingle,PH,90.82,light rain,10.9995,122.6711,SEGAYA PROPERTY
42,Geraldton,AU,71.6,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
45,Harper,LR,79.41,light rain,4.375,-7.7169,Screensaver
46,Puerto Ayora,EC,74.17,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
49,Georgetown,MY,89.6,few clouds,5.4112,100.3354,Cititel Penang
50,Playa Vicente,MX,79.99,broken clouds,17.8333,-95.8167,"Hotel ""Imperio"""
52,Pochutla,MX,81.0,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
53,Hobart,AU,73.4,clear sky,-42.8794,147.3294,Mantra on Collins Hobart
60,Puerto El Triunfo,SV,80.6,broken clouds,13.2833,-88.55,Hotel Jardin
64,Meulaboh,ID,84.96,overcast clouds,4.1363,96.1285,Kost Pria
65,Bandarbeyla,SO,83.19,overcast clouds,9.4942,50.8122,JABIR HOTEL
67,Cidreira,BR,67.89,clear sky,-30.1811,-50.2056,Hotel Castelo
68,Entre Rios,BR,69.31,scattered clouds,-11.9419,-38.0844,Jambalaya Pousada
69,Paraiso,CR,68.0,overcast clouds,9.8383,-83.8656,Rinconcito Verde
70,Pasighat,IN,92.88,broken clouds,28.0667,95.3333,Siang Guest House
71,Saint-Georges,GD,78.8,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
72,Vaini,TO,78.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
77,Saint-Philippe,RE,75.2,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
80,Butaritari,KI,83.43,broken clouds,3.0707,172.7902,Isles Sunset Lodge
83,Atuona,PF,79.43,clear sky,-9.8,-139.0333,Villa Enata
84,Cabo San Lucas,MX,73.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
86,Cockburn Town,TC,78.46,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
90,Diofior,SN,77.0,clear sky,14.1833,-16.6667,Souimanga Lodge
91,Portobelo,PA,78.01,overcast clouds,9.55,-79.65,Scuba Portobelo
93,Hithadhoo,MV,84.06,broken clouds,-0.6,73.0833,Scoop Guest House
96,Terra Santa,BR,74.03,overcast clouds,-2.1042,-56.4869,Hotel Sarah
99,Kavieng,PG,84.43,light rain,-2.5744,150.7967,Nusa Island Retreat
107,The Valley,AI,78.8,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
111,San Pedro,PH,93.2,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
114,Nishihara,JP,82.4,broken clouds,26.1842,127.7558,Minshuku Agaihama
116,Djambala,CG,68.63,light rain,-2.5447,14.7533,Hotel Ravin D'or
120,Tefe,BR,72.82,overcast clouds,-3.3542,-64.7114,Aracati Hotel
122,Kirakira,SB,82.62,moderate rain,-10.4544,161.9205,SanBiz Lodge
123,Praya,CV,71.6,broken clouds,14.9215,-23.5087,LT Aparthotel
124,Naze,JP,78.8,scattered clouds,28.3667,129.4833,奄美ポートタワーホテル
125,Codrington,AU,73.65,light rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
127,Punta Cardon,VE,78.75,overcast clouds,11.6581,-70.215,Bambuda hotel
129,Isangel,VU,84.2,broken clouds,-19.55,169.2667,Tanna Lodge
131,Karratha,AU,91.85,clear sky,-20.7377,116.8463,ibis Styles Karratha
139,Phan Thiet,VN,88.38,broken clouds,10.9333,108.1,Hotel Saigon-PT
140,Mahebourg,MU,77.0,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
141,Cozumel,MX,80.6,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
142,Wanning,CN,86.34,few clouds,18.8003,110.3967,Paradise Hotel
145,Grand Gaube,MU,79.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
148,Alamos,MX,79.0,scattered clouds,27.0167,-108.9333,Luz del Sol
149,Korla,CN,79.32,clear sky,41.7597,86.1469,Gulisitan Hotel
150,Saint-Pierre,RE,75.2,clear sky,-21.3393,55.4781,Lindsey Hôtel
151,Mareeba,AU,82.99,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
152,Diamantino,BR,71.6,broken clouds,-14.4086,-56.4461,Hotel Delta
159,San Cristobal,VE,65.01,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
161,Tabou,CI,79.36,overcast clouds,4.423,-7.3528,hotêl doufoulougou
163,Yeppoon,AU,82.4,scattered clouds,-23.1333,150.7333,Villa Mar Colina
