City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,78.96,79,79,20.36,broken clouds
1,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,64,35,5.12,scattered clouds
2,Joshimath,IN,30.5667,79.5667,69.8,50,26,4.56,scattered clouds
3,Monforte De Lemos,ES,42.5216,-7.5142,35.01,93,58,3.0,broken clouds
4,Mataura,NZ,-46.1927,168.8643,55.99,74,65,3.0,broken clouds
5,Mallaig,CA,54.2169,-111.3685,59.0,25,30,10.36,scattered clouds
6,Busselton,AU,-33.65,115.3333,66.0,72,98,1.01,overcast clouds
7,Timberlake,US,37.3207,-79.2575,60.8,44,1,5.75,clear sky
8,Shingu,JP,33.7333,135.9833,66.2,88,75,10.36,mist
9,Aykhal,RU,66.0,111.5,31.24,93,100,13.09,overcast clouds
10,College,US,64.8569,-147.8028,37.4,44,75,11.5,broken clouds
11,New Norfolk,AU,-42.7826,147.0587,68.0,52,99,1.01,overcast clouds
12,Giresun,TR,40.5,38.5,50.0,100,90,4.61,fog
13,La Ronge,CA,55.1001,-105.2842,59.0,33,27,8.05,scattered clouds
14,Luderitz,NA,-26.6481,15.1594,65.25,38,0,12.1,clear sky
15,Ponta Do Sol,PT,32.6667,-17.1,57.99,58,100,4.0,overcast clouds
16,Coihaique,CL,-45.5752,-72.0662,48.2,93,20,2.3,moderate rain
17,Norman Wells,CA,65.282,-126.8329,44.6,39,20,11.5,few clouds
18,Daru,PG,-9.0763,143.2092,81.27,80,99,11.01,overcast clouds
19,Albany,US,42.6001,-73.9662,42.01,70,90,1.99,light rain
20,Kamsack,CA,51.5667,-101.9009,60.8,39,1,8.05,clear sky
21,Viedma,AR,-40.8135,-62.9967,65.55,49,100,15.32,overcast clouds
22,Kavaratti,IN,10.5669,72.642,85.17,71,27,7.27,scattered clouds
23,Hilo,US,19.7297,-155.09,80.6,61,90,10.36,overcast clouds
24,Tasiilaq,GL,65.6145,-37.6368,26.6,93,40,5.75,scattered clouds
25,Klaksvik,FO,62.2266,-6.589,35.6,75,90,5.75,overcast clouds
26,Kapaa,US,22.0752,-159.319,75.2,78,90,12.66,light rain
27,Flinders,AU,-34.5833,150.8552,73.99,72,15,4.0,few clouds
28,Bluff,NZ,-46.6,168.3333,55.99,74,50,3.0,scattered clouds
29,Port Lincoln,AU,-34.7333,135.8667,71.15,54,64,22.41,broken clouds
30,Ippy,CF,6.2679,21.2247,71.76,83,100,4.47,overcast clouds
31,Katobu,ID,-4.9408,122.5276,89.92,46,45,3.83,scattered clouds
32,Uruzgan,AF,32.8333,66.0,70.11,34,85,5.97,overcast clouds
33,Port Hardy,CA,50.6996,-127.4199,50.0,93,90,5.75,light rain
34,Nizhnyaya Omka,RU,55.4338,74.9426,43.21,43,29,20.31,scattered clouds
35,Hermanus,ZA,-34.4187,19.2345,53.01,78,0,1.01,clear sky
36,Bredasdorp,ZA,-34.5322,20.0403,41.0,93,0,2.3,clear sky
37,Magomeni,TZ,-6.8,39.25,73.4,100,20,4.61,moderate rain
38,Ilulissat,GL,69.2167,-51.1,33.8,69,89,8.05,overcast clouds
39,San Angelo,US,31.4638,-100.437,63.0,94,90,5.75,mist
40,Dingle,PH,10.9995,122.6711,90.82,54,90,10.94,light rain
41,Mar Del Plata,AR,-38.0023,-57.5575,60.01,94,0,8.05,clear sky
42,Geraldton,AU,-28.7667,114.6,71.6,28,90,10.36,overcast clouds
43,Shieli,KZ,44.1667,66.75,60.35,28,100,24.96,overcast clouds
44,Kaitangata,NZ,-46.2817,169.8464,57.99,51,76,8.99,broken clouds
45,Harper,LR,4.375,-7.7169,79.41,81,100,3.83,light rain
46,Puerto Ayora,EC,-0.7393,-90.3518,74.17,83,2,6.78,clear sky
47,Machico,PT,32.7,-16.7667,60.8,67,40,6.91,scattered clouds
48,Santa Maria,BR,-29.6842,-53.8069,55.4,94,0,2.3,clear sky
49,Georgetown,MY,5.4112,100.3354,89.6,79,20,2.3,few clouds
50,Playa Vicente,MX,17.8333,-95.8167,79.99,79,73,6.15,broken clouds
51,Salamanca,ES,40.8333,-6.0,42.8,87,75,6.91,broken clouds
52,Pochutla,MX,15.7432,-96.4661,81.0,80,28,1.01,scattered clouds
53,Hobart,AU,-42.8794,147.3294,73.4,35,0,6.91,clear sky
54,Punta Arenas,CL,-53.15,-70.9167,42.8,93,75,9.22,broken clouds
55,Zhigansk,RU,66.7697,123.3711,30.61,91,100,5.75,overcast clouds
56,Buin,CL,-33.7333,-70.75,54.0,81,100,0.85,overcast clouds
57,Poya,NC,-21.35,165.15,79.56,57,61,7.74,broken clouds
58,Ayolas,PY,-27.4,-56.9,58.86,69,0,6.11,clear sky
59,Ushuaia,AR,-54.8,-68.3,37.4,93,75,59.84,light rain
60,Puerto El Triunfo,SV,13.2833,-88.55,80.6,78,75,11.5,broken clouds
61,Saskylakh,RU,71.9167,114.0833,33.12,99,100,7.78,overcast clouds
62,Chumikan,RU,54.7183,135.315,32.27,95,100,13.51,light snow
63,Yarmouth,US,41.7057,-70.2286,53.6,47,90,14.97,light rain
64,Meulaboh,ID,4.1363,96.1285,84.96,66,94,3.29,overcast clouds
65,Bandarbeyla,SO,9.4942,50.8122,83.19,71,100,2.24,overcast clouds
66,Ahipara,NZ,-35.1667,173.1667,64.18,68,51,12.17,broken clouds
67,Cidreira,BR,-30.1811,-50.2056,67.89,75,0,17.36,clear sky
68,Entre Rios,BR,-11.9419,-38.0844,69.31,98,46,4.03,scattered clouds
69,Paraiso,CR,9.8383,-83.8656,68.0,100,90,1.05,overcast clouds
70,Pasighat,IN,28.0667,95.3333,92.88,32,55,4.63,broken clouds
71,Saint-Georges,GD,12.0564,-61.7485,78.8,83,75,9.22,broken clouds
72,Vaini,TO,-21.2,-175.2,78.8,89,75,12.66,broken clouds
73,Port Alfred,ZA,-33.5906,26.891,57.78,81,5,12.93,clear sky
74,Husavik,IS,66.0449,-17.3389,30.2,100,90,5.75,light snow
75,Saint-Augustin,CA,51.226,-58.6502,39.09,86,100,19.13,overcast clouds
76,Valle De Allende,MX,26.9333,-105.4,51.31,67,84,8.52,broken clouds
77,Saint-Philippe,RE,-21.3585,55.7679,75.2,73,0,15.12,light rain
78,Lysyye Gory,RU,51.5506,44.8414,51.44,77,100,12.82,moderate rain
79,Torbay,CA,47.6666,-52.7314,37.99,100,90,25.32,light rain
80,Butaritari,KI,3.0707,172.7902,83.43,72,76,8.72,broken clouds
81,Toora-Khem,RU,52.4675,96.11,39.63,90,100,4.54,light rain
82,Gobabis,NA,-22.45,18.9667,51.26,32,0,8.84,clear sky
83,Atuona,PF,-9.8,-139.0333,79.43,68,4,1.86,clear sky
84,Cabo San Lucas,MX,22.8909,-109.9124,73.0,76,0,6.24,clear sky
85,Broome,US,42.2506,-75.833,36.0,100,90,14.97,light snow
86,Cockburn Town,TC,21.4612,-71.1419,78.46,73,69,13.33,broken clouds
87,Yerbogachen,RU,61.2767,108.0108,35.91,97,100,6.69,snow
88,Vanavara,RU,60.34,102.2797,41.13,76,66,9.73,broken clouds
89,Esperance,AU,-33.8667,121.9,62.6,67,75,9.22,broken clouds
90,Diofior,SN,14.1833,-16.6667,77.0,69,0,9.22,clear sky
91,Portobelo,PA,9.55,-79.65,78.01,79,100,5.23,overcast clouds
92,Chuy,UY,-33.6971,-53.4616,59.83,95,100,6.78,overcast clouds
93,Hithadhoo,MV,-0.6,73.0833,84.06,71,82,6.53,broken clouds
94,Qaanaaq,GL,77.484,-69.3632,27.52,52,92,8.52,overcast clouds
95,Sioux Lookout,CA,50.1001,-91.917,46.4,31,90,4.61,overcast clouds
96,Terra Santa,BR,-2.1042,-56.4869,74.03,96,100,1.63,overcast clouds
97,Thompson,CA,55.7435,-97.8558,32.0,100,90,9.22,snow
98,Leningradskiy,RU,69.3833,178.4167,19.83,92,100,22.3,light snow
99,Kavieng,PG,-2.5744,150.7967,84.43,68,28,6.82,light rain
100,Anzio,IT,41.4853,12.6179,62.01,94,100,1.01,overcast clouds
101,Kodiak,US,57.79,-152.4072,46.4,71,1,8.05,clear sky
102,Ust-Kuyga,RU,70.0167,135.6,33.44,97,67,3.85,broken clouds
